titulo,anoDeLancamento,idioma,diretor,genero,duracao,linkIMDB,linkImagem,descricao,orcamento,principaisAtores,classificacao,paisDeOrigem
Captain America: The Winter Soldier,2014,Inglês,"Anthony Russo, Joe Russo","Ação, Aventura, Ficção científica",136,https://www.imdb.com/title/tt1843866,https://m.media-amazon.com/images/M/MV5BMzA2NDkwODAwM15BMl5BanBnXkFtZTgwODk5MTgzMTE@._V1_.jpg,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",170000000,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",12,Estados Unidos
Guardians of the Galaxy,2014,Inglês,James Gunn,"Ação, Aventura, Comédia",121,https://www.imdb.com/title/tt2015381,https://m.media-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_.jpg,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,170000000,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",12,Estados Unidos
Guardians of the Galaxy Vol. 2,2017,Inglês,James Gunn,"Ação, Aventura, Comédia",136,https://www.imdb.com/title/tt3896198,https://m.media-amazon.com/images/M/MV5BNjM0NTc0NzItM2FlYS00YzEwLWE0YmUtNTA2ZWIzODc2OTgxXkEyXkFqcGdeQXVyNTgwNzIyNzg@._V1_.jpg,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",200000000,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",12,Estados Unidos
Ant-Man,2015,Inglês,Peyton Reed,"Ação, Aventura, Comédia",117,https://www.imdb.com/title/tt0478970,https://m.media-amazon.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_.jpg,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",130000000,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll",12,Estados Unidos
Captain America: Civil War,2016,Inglês,"Anthony Russo, Joe Russo","Ação, Aventura, Ficção científica",147,https://www.imdb.com/title/tt3498820,https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_.jpg,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,250000000,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",12,Estados Unidos
Black Panther,2018,Inglês,Ryan Coogler,"Ação, Aventura, Ficção científica",134,https://www.imdb.com/title/tt1825683,https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_.jpg,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",200000000,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",14,Estados Unidos
Doctor Strange,2016,Inglês,Scott Derrickson,"Ação, Aventura, Fantasia",115,https://www.imdb.com/title/tt1211837,https://m.media-amazon.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_.jpg,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",165000000,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",12,Estados Unidos
Thor: Ragnarok,2017,Inglês,Taika Waititi,"Ação, Aventura, Comédia",130,https://www.imdb.com/title/tt3501632,https://m.media-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_.jpg,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",180000000,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba",12,"Estados Unidos, Austrália"
Ant-Man and the Wasp,2018,Inglês,Peyton Reed,"Ação, Aventura, Comédia",118,https://www.imdb.com/title/tt5095030,https://m.media-amazon.com/images/M/MV5BYjcyYTk0N2YtMzc4ZC00Y2E0LWFkNDgtNjE1MzZmMGE1YjY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",162000000,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins",12,"Estados Unidos, Canadá"
Avengers: Infinity War,2018,Inglês,"Anthony Russo, Joe Russo","Ação, Aventura, Ficção científica",149,https://www.imdb.com/title/tt4154756,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_.jpg,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,321000000,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",12,Estados Unidos
Avengers: Endgame,2019,Inglês,"Anthony Russo, Joe Russo","Ação, Aventura, Drama",181,https://www.imdb.com/title/tt4154796,https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_.jpg,"After the devastating events of Vingadores: Guerra Infinita (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",356000000,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",12,Estados Unidos
Dune,2021,Inglês,Denis Villeneuve,"Ação, Aventura, Drama",155,https://www.imdb.com/title/tt1160419,https://m.media-amazon.com/images/M/MV5BN2FjNmEyNWMtYzM0ZS00NjIyLTg5YzYtYThlMGVjNzE1OGViXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,165000000,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Jason Momoa",14,"Estados Unidos, Canadá"
Wreck-It Ralph,2012,Inglês,Rich Moore,"Animação, Aventura, Comédia",101,https://www.imdb.com/title/tt1772341,https://m.media-amazon.com/images/M/MV5BNzMxNTExOTkyMF5BMl5BanBnXkFtZTcwMzEyNDc0OA@@._V1_.jpg,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",165000000,"John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch",Livre,Estados Unidos
A Million Ways to Die in the West,2014,Inglês,Seth MacFarlane,"Comédia, Faroeste",116,https://www.imdb.com/title/tt2557490,https://m.media-amazon.com/images/M/MV5BMTQ0NDcyNjg0MV5BMl5BanBnXkFtZTgwMzk4NTA4MTE@._V1_.jpg,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his newly found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",40000000,"Seth MacFarlane, Charlize Theron, Amanda Seyfried, Liam Neeson",14,Estados Unidos
Star Trek: The Motion Picture,1979,Inglês,Robert Wise,"Aventura, Mistério, Ficção científica",132,https://www.imdb.com/title/tt0079945,https://m.media-amazon.com/images/M/MV5BNjk1ZjAyZjktZTY4YS00NDY3LWIwMzktMjZiNGIzODFiZDVmXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,"When an alien spacecraft of enormous power is spotted approaching Earth, Admiral James T. Kirk resumes command of the overhauled USS Enterprise in order to intercept it.",35000000,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",Livre,Estados Unidos
Star Trek II: The Wrath of Khan,1982,Inglês,Nicholas Meyer,"Ação, Aventura, Ficção científica",113,https://www.imdb.com/title/tt0084726,https://m.media-amazon.com/images/M/MV5BNmZiZmM2OTUtZDlmOC00YzYyLThkMGEtZWFkMjJmM2EwZDVkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",11200000,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",Livre,Estados Unidos
Star Trek III: The Search for Spock,1984,Inglês,Leonard Nimoy,"Ação, Aventura, Ficção científica",105,https://www.imdb.com/title/tt0088170,https://m.media-amazon.com/images/M/MV5BMmFiMTczYjgtMWQwOC00MjFlLWFlZjUtMjJjNTcxNjAzY2Q1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned U.S.S. Enterprise to return to the restricted Genesis Planet to recover Spock's body.,17000000,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",Livre,Estados Unidos
Star Trek IV: The Voyage Home,1986,Inglês,Leonard Nimoy,"Ação, Aventura, Comédia",119,https://www.imdb.com/title/tt0092007,https://m.media-amazon.com/images/M/MV5BZmU3ZGE3NzEtYTdmYi00YTYxLWIxYTItZGY5YjFlOTA2NWI3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,"To save Earth from an alien probe, Admiral James T. Kirk and his fugitive crew go back in time to San Francisco in 1986 to retrieve the only beings who can communicate with it: humpback whales.",25000000,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",Livre,Estados Unidos
Star Trek V: The Final Frontier,1989,Inglês,William Shatner,"Ação, Aventura, Fantasia",107,https://www.imdb.com/title/tt0098382,https://m.media-amazon.com/images/M/MV5BZmUzNjYzZDEtMWQ1Ny00OGIxLTk4MTktMzU5NTZmZjk5MTQyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,Captain Kirk and his crew must deal with Mr. Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy.,27800000,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",Livre,Estados Unidos
Star Trek VI: The Undiscovered Country,1991,Inglês,Nicholas Meyer,"Ação, Aventura, Ficção científica",110,https://www.imdb.com/title/tt0102975,https://m.media-amazon.com/images/M/MV5BYzJiZDdmODQtMDM0Yi00ZTcwLWJjMjItM2QxOWJjZDdmYmQ5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",30000000,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",Livre,Estados Unidos
Star Trek: Generations,1994,Inglês,David Carson,"Ação, Aventura, Mistério",118,https://www.imdb.com/title/tt0111280,https://m.media-amazon.com/images/M/MV5BOTk5Mjg4MzktZTczNC00ZWI3LWFlNjgtNjgwZDQwOGU5NmQ3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,"With the help of long presumed dead Captain Kirk, Captain Picard must stop a deranged scientist willing to murder on a planetary scale in order to enter a space matrix.",35000000,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",Livre,Estados Unidos
Star Trek: First Contact,1996,Inglês,Jonathan Frakes,"Ação, Aventura, Drama",111,https://www.imdb.com/title/tt0117731,https://m.media-amazon.com/images/M/MV5BYzMzZmE3MTItODYzYy00YWI5LWFkNWMtZTY5NmU2MDkxYWI1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,The Borg travel back in time intent on preventing Earth's first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochrane makes his maiden flight reaching warp speed.,45000000,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",Livre,Estados Unidos
Star Trek: Insurrection,1998,Inglês,Jonathan Frakes,"Ação, Aventura, Ficção científica",103,https://www.imdb.com/title/tt0120844,https://m.media-amazon.com/images/M/MV5BNWEzZDI0NjEtY2FkMC00ZjQwLWI2YzgtZDEyMzMwZmRlZDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"When the crew of the Enterprise learn of a Federation conspiracy against the inhabitants of a unique planet, Captain Picard begins an open rebellion.",58000000,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",Livre,Estados Unidos
Star Trek: Nemesis,2002,Inglês,Stuart Baird,"Ação, Aventura, Ficção científica",116,https://www.imdb.com/title/tt0253754,https://m.media-amazon.com/images/M/MV5BMjAxNjY2NDY3NF5BMl5BanBnXkFtZTcwMjA0MTEzMw@@._V1_.jpg,"The Enterprise is diverted to the Romulan homeworld Romulus, supposedly because they want to negotiate a peace treaty. Captain Picard and his crew discover a serious threat to the Federation once Praetor Shinzon plans to attack Earth.",60000000,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",12,Estados Unidos
Star Trek,2009,Inglês,J.J. Abrams,"Ação, Aventura, Ficção científica",127,https://www.imdb.com/title/tt0796366,https://m.media-amazon.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_.jpg,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,150000000,"Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana",12,"Estados Unidos, Alemanha"
Star Trek Into Darkness,2013,Inglês,J.J. Abrams,"Ação, Aventura, Ficção científica",132,https://www.imdb.com/title/tt1408101,https://m.media-amazon.com/images/M/MV5BMTk2NzczOTgxNF5BMl5BanBnXkFtZTcwODQ5ODczOQ@@._V1_.jpg,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",190000000,"Leonard Nimoy, Chris Pine, Zachary Quinto, Zoe Saldana",12,Estados Unidos
Star Trek Beyond,2016,Inglês,Justin Lin,"Ação, Aventura, Ficção científica",122,https://www.imdb.com/title/tt2660888,https://m.media-amazon.com/images/M/MV5BNDc2YThlMTgtN2M3Yi00YzkxLWE4MDQtMWJmYmZiNTNjNjJlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,"The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",185000000,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",12,"Estados Unidos, China"
Big Hero 6,2014,Inglês,"Don Hall, Chris Williams","Animação, Ação, Aventura",102,https://www.imdb.com/title/tt2245084,https://m.media-amazon.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_.jpg,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",165000000,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller",Livre,Estados Unidos
Star Wars: Episode I - The Phantom Menace,1999,Inglês,George Lucas,"Ação, Aventura, Fantasia",136,https://www.imdb.com/title/tt0120915,https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",115000000,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",Livre,Estados Unidos
Star Wars: Episode II - Attack of the Clones,2002,Inglês,George Lucas,"Ação, Aventura, Fantasia",142,https://www.imdb.com/title/tt0121765,https://m.media-amazon.com/images/M/MV5BMDAzM2M0Y2UtZjRmZi00MzVlLTg4MjEtOTE3NzU5ZDVlMTU5XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_.jpg,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",115000000,"Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee",Livre,Estados Unidos
Star Wars: Episode III - Revenge of the Sith,2005,Inglês,George Lucas,"Ação, Aventura, Fantasia",140,https://www.imdb.com/title/tt0121766,https://m.media-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_.jpg,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",113000000,"Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid",10,"Estados Unidos, Itália, Suiça, Tailândia"
Solo: A Star Wars Story,2018,Inglês,Ron Howard,"Ação, Aventura, Ficção científica",135,https://www.imdb.com/title/tt3778644,https://m.media-amazon.com/images/M/MV5BOTM2NTI3NTc3Nl5BMl5BanBnXkFtZTgwNzM1OTQyNTM@._V1_.jpg,"Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes.",275000000,"Alden Ehrenreich, Joonas Suotamo, Woody Harrelson, Emilia Clarke",12,Estados Unidos
Rogue One: A Star Wars Story,2016,Inglês,Gareth Edwards,"Ação, Aventura, Ficção científica",133,https://www.imdb.com/title/tt3748528,https://m.media-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_.jpg,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",200000000,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",12,Estados Unidos
Star Wars,1977,Inglês,George Lucas,"Ação, Aventura, Fantasia",121,https://www.imdb.com/title/tt0076759/,https://m.media-amazon.com/images/M/MV5BNzg4MjQxNTQtZmI5My00YjMwLWJlMjUtMmJlY2U2ZWFlNzY1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",11000000,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing",Livre,Estados Unidos
Star Wars: Episode V - The Empire Strikes Back,1980,Inglês,Irvin Kershner,"Ação, Aventura, Fantasia",124,https://www.imdb.com/title/tt0080684,https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",18000000,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",Livre,Estados Unidos
Star Wars: Episode VI - Return of the Jedi,1983,Inglês,Richard Marquand,"Ação, Aventura, Fantasia",131,https://www.imdb.com/title/tt0086190,https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",32500000,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",Livre,Estados Unidos
Star Wars: Episode VII - The Force Awakens,2015,Inglês,J.J. Abrams,"Ação, Aventura, Ficção científica",138,https://www.imdb.com/title/tt2488496,https://m.media-amazon.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_.jpg,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",245000000,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",12,Estados Unidos
Star Wars: Episode VIII - The Last Jedi,2017,Inglês,Rian Johnson,"Ação, Aventura, Fantasia",152,https://www.imdb.com/title/tt2527336,https://m.media-amazon.com/images/M/MV5BMjQ1MzcxNjg4N15BMl5BanBnXkFtZTgwNzgwMjY4MzI@._V1_.jpg,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",317000000,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",12,Estados Unidos
Star Wars: Episode IX - The Rise of Skywalker,2019,Inglês,J.J. Abrams,"Ação, Aventura, Fantasia",141,https://www.imdb.com/title/tt2527338,https://m.media-amazon.com/images/M/MV5BMDljNTQ5ODItZmQwMy00M2ExLTljOTQtZTVjNGE2NTg0NGIxXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_.jpg,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",275000000,"Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley",12,Estados Unidos
The Iron Giant,1999,Inglês,Brad Bird,"Animação, Ação, Aventura",86,https://www.imdb.com/title/tt0129167,https://m.media-amazon.com/images/M/MV5BMjIxNDU2Njk0OV5BMl5BanBnXkFtZTgwODc3Njc3NjE@._V1_.jpg,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,70000000,"Jennifer Aniston, Harry Connick Jr., Vin Diesel, James Gammon",Livre,Estados Unidos
Ron's Gone Wrong,2021,Inglês,"Sarah Smith, Jean-Philippe Vine","Animação, Aventura, Comédia",106,https://www.imdb.com/title/tt7504818,https://m.media-amazon.com/images/M/MV5BMzMxMjllYTgtZWNjZS00ODc0LTljZWUtYjdiMDQ2ZDJkM2FkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,"The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship.",,"Jack Dylan Grazer, Zach Galifianakis, Ed Helms, Olivia Colman",Livre,"Estados Unidos, Reino Unido"
Akira,1988,Japonês,Katsuhiro Ôtomo,"Animação, Ação, Drama",124,https://www.imdb.com/title/tt0094625,https://m.media-amazon.com/images/M/MV5BM2ZiZTk1ODgtMTZkNS00NTYxLWIxZTUtNWExZGYwZTRjODViXkEyXkFqcGdeQXVyMTE2MzA3MDM@._V1_.jpg,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",1100000000,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda",14,Japão
Luca,2021,Inglês,Enrico Casarosa,"Animação, Aventura, Comédia",95,https://www.imdb.com/title/tt12801262,https://m.media-amazon.com/images/M/MV5BZTQyNTU0MDktYTFkYi00ZjNhLWE2ODctMzBkM2U1ZTk3YTMzXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_.jpg,"On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human.",,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Saverio Raimondo",Livre,Estados Unidos
Antz,1998,Inglês,"Eric Darnell, Tim Johnson","Animação, Aventura, Comédia",83,https://www.imdb.com/title/tt0120587,https://m.media-amazon.com/images/M/MV5BMzMzMDdlMDktODg4OC00Y2E5LTk1ZjMtNzM2MzIxZGQ0ZGI3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.,105000000,"Woody Allen, Dan Aykroyd, Anne Bancroft, Jane Curtin",Livre,Estados Unidos
The Prince of Egypt,1998,Inglês,"Brenda Chapman, Steve Hickner, Simon Wells","Animação, Aventura, Drama",99,https://www.imdb.com/title/tt0120794,https://m.media-amazon.com/images/M/MV5BOWNjMjgyNmMtNWMzZC00YjI4LWI1NmUtMTY0ZTA0ZDQ4Y2EwXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_.jpg,Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.,70000000,"Val Kilmer, Ralph Fiennes, Michelle Pfeiffer, Sandra Bullock",Livre,Estados Unidos
The Road to El Dorado,2000,Inglês,"Bibo Bergeron, Don Paul, Jeffrey Katzenberg","Animação, Aventura, Comédia",89,https://www.imdb.com/title/tt0138749,https://m.media-amazon.com/images/M/MV5BOTEzNWIwMzctOTE1YS00YjIyLTgwZGEtMTMxZDAzNzlmODMxXkEyXkFqcGdeQXVyMjgyMDk1MzY@._V1_.jpg,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado.",95000000,"Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante",Livre,Estados Unidos
Chicken Run,2000,Inglês,"Peter Lord, Nick Park","Animação, Aventura, Comédia",84,https://www.imdb.com/title/tt0120630,https://m.media-amazon.com/images/M/MV5BNDgxNjZlZDYtZGJmZC00Mjg0LWEwYzctYWQ0MWFjNTM3ZmM4XkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_.jpg,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",45000000,"Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth",Livre,"Reino Unido, França, Estados Unidos"
Batman & Robin,1997,Inglês,Joel Schumacher,"Ação, Ficção científica",125,https://www.imdb.com/title/tt0118688,https://m.media-amazon.com/images/M/MV5BMGQ5YTM1NmMtYmIxYy00N2VmLWJhZTYtN2EwYTY3MWFhOTczXkEyXkFqcGdeQXVyNTA2NTI0MTY@._V1_.jpg,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,125000000,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman",Livre,"Estados Unidos, Reino Unido"
Wish Dragon,2021,Inglês,Chris Appelhans,"Animação, Aventura, Comédia",98,https://www.imdb.com/title/tt5562070,https://m.media-amazon.com/images/M/MV5BNDg0N2NiZTAtZWVjNy00YmJlLWI0NDktMjFkMmRiZGIyNzRmXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_.jpg,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,,"Jimmy Wong, John Cho, Constance Wu, Natasha Liu Bordizzo",10,"China, Estados Unidos"
Exam,2009,Inglês,Stuart Hazeldine,"Mistério, Thriller",101,https://www.imdb.com/title/tt1258197,https://m.media-amazon.com/images/M/MV5BNDg2NzM2NzIwNF5BMl5BanBnXkFtZTcwODE2ODc1Mg@@._V1_.jpg,"Eight candidates for a highly desirable corporate job are locked together in an exam room and given a final test with just one seemingly simple question. However, it doesn't take long for confusion to ensue and tensions to unravel.",,"Adar Beck, Gemma Chan, Nathalie Cox, John Lloyd Fillingham",,Reino Unido
Marighella,2019,Inglês,Wagner Moura,"Ação, Drama, História",155,https://www.imdb.com/title/tt7825208,https://m.media-amazon.com/images/M/MV5BMmZkNjg3MTgtY2E3OC00YTBmLWI3YTktZWVlZDIxMjAwOTcwXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,"Facing a violent military dictatorship and an intimidated opposition, writer-turned-politician Carlos Marighella articulates a resistance all the while ousting heinous crimes of torture and the infamous censorship instituted by the regime.",4000000,"Seu Jorge, Bruno Gagliasso, Luiz Carlos Vasconcelos, Humberto Carrão",16,Brasil
