titulo,dataAssistido,anoDeLancamento,idioma,diretor,genero,duracao,plataforma,assistidoLegendado,linkIMDB,linkImagem,descricao,orcamento
The Post,07/03/2021,2017,Inglês,Steven Spielberg,Drama,116,,,https://www.imdb.com/title/tt6294822,https://m.media-amazon.com/images/M/MV5BMjQyMjEwOTIwNV5BMl5BanBnXkFtZTgwOTkzNTMxNDM@._V1_.jpg,A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.,50000000
Jurassic World: Fallen Kingdom,07/03/2021,2018,Inglês,J. A. Bayona,"Ação, Aventura, Ficção científica",128,,,https://www.imdb.com/title/tt4881806,https://m.media-amazon.com/images/M/MV5BNzIxMjYwNDEwN15BMl5BanBnXkFtZTgwMzk5MDI3NTM@._V1_.jpg,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",170000000
O Concurso,08/03/2021,2013,Português (Brasileiro),Pedro Vasconcellos,Comédia,86,,,https://www.imdb.com/title/tt2616114,https://m.media-amazon.com/images/M/MV5BMjMzMDQwMzM2M15BMl5BanBnXkFtZTcwMzA1OTg1OQ@@._V1_.jpg,"On the final test of a public tender for federal judge in Rio de Janeiro, the four finalists lawyers come from bizarre way: the gaucho Rogério Carlos (Fábio Porchat) comes surrounded woman dressed transvestites, the São Paulo Rezende (Rodrigo Pandolfo) ragamuffin on a motorcycle driven by attractive Martinha (Sabrina Sato), Caio Rio (Danton Mello) appears in a vehicle which falls handcuffed and escorted, and the Ceará Freitas (Anderson Di Rizzi) appears in an ambulance next to his pregnant wife Mariana (Carol Castro), entering the hall on a stretcher pushed by candomblé practitioners. The film then returns to a week before showing the quartet meeting and engaging in various confusions as they prepare for the race.",3000000
Bee Movie,09/03/2021,2007,Inglês,"Simon J. Smith, Steve Hickner","Animação, Aventura, Comédia",91,,,https://www.imdb.com/title/tt0389790,https://m.media-amazon.com/images/M/MV5BMjE1MDYxOTA4MF5BMl5BanBnXkFtZTcwMDE0MDUzMw@@._V1_.jpg,"Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue them.",150000000
Entre Abelhas,09/03/2021,2015,Português (Brasileiro),Ian SBF,"Comédia, Drama",100,,,https://www.imdb.com/title/tt3765088,https://m.media-amazon.com/images/M/MV5BZmFiYzdiODEtZmZhYS00NmQ5LThlNjAtN2FlZjNmMjE1NDAwXkEyXkFqcGdeQXVyNDg4ODU4ODI@._V1_.jpg,"Bruno (Fabio Porchat) is a young film editor who has just broke up his marriage with Regina, and returned living in his mother's house. Drowned in deep sorrow, something very weird happens in his life: people around him are gradually disappearing. But only for him. Some kind of blindness.",
"Especial de Natal: Se Beber, Não Ceie",11/03/2021,2018,Português (Brasileiro),Rodrigo Van Der Put,Comédia,44,,,https://www.imdb.com/title/tt9476490,https://m.media-amazon.com/images/M/MV5BZGQ2MDJjNjctZGZiNy00YTA3LWJjOTUtMGUwOTM5ZTBjMWYzXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,It's the morning after the Last Supper and the disciples are waking up hungover and wondering where their Messiah is.,
The Late Bloomer,11/03/2021,2016,Inglês,Kevin Pollak,"Comédia, Drama, Romance",90,,,https://www.imdb.com/title/tt1588878,https://m.media-amazon.com/images/M/MV5BMjUwNjIzNzY5MV5BMl5BanBnXkFtZTgwNzQ1Mzk5OTE@._V1_.jpg,"The story of an adult male who, after the successful removal of a benign tumor resting against his pituitary gland, experiences all the changes and effects of puberty over a three-week period.",3500000
O Último Virgem,13/03/2021,2016,Português (Brasileiro),"Rilson Baco, Felipe Bretas","Comédia, Romance",82,,,https://www.imdb.com/title/tt3379372,https://m.media-amazon.com/images/M/MV5BNDQ0Y2IyNzYtMDVlMi00MzZhLTgzZTEtYTBmZjNmZGZlNjUzXkEyXkFqcGdeQXVyNjU5NzQxNDQ@._V1_.jpg,"Dudu is a shy boy who, in his senior year of high school, is still a virgin. This situation makes him the constant target of jokes from his inseparable friends. One day, at the end of the school year, he is invited by the gorgeous Professor Deborah to take extra lessons at her house. The situation soon causes Dudu and his friends to believe that she is flirting on the boy, who cares more than never about his sexual inexperience.",
Climax,14/03/2021,2018,Francês,Gaspar Noé,"Drama, Horror, Música",97,,,https://www.imdb.com/title/tt8359848,https://m.media-amazon.com/images/M/MV5BMjllYmQ2OGQtN2IxZC00ODJiLWI4NjQtYmNlZjYzNzUzYjkyXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_.jpg,"French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.",2600000
A Primeira Tentação de Cristo,15/03/2021,2019,Português (Brasileiro),Rodrigo Van Der Put,Comédia,46,,,https://www.imdb.com/title/tt11310004,https://m.media-amazon.com/images/M/MV5BZjkwOWNlMGUtMTZmZS00MjM0LWE4MmItNDBhODAxNDM0YzcwXkEyXkFqcGdeQXVyNTU3MTY2Mg@@._V1_.jpg,"Jesus, who's hitting the big 3-0, brings a surprise guest to meet the family.",
Divã,17/03/2021,2009,Português (Brasileiro),José Alvarenga Júnior,"Comédia, Drama, Romance",90,,,https://www.imdb.com/title/tt1278336,https://m.media-amazon.com/images/M/MV5BN2U2ODQwYmMtNjEzYy00MzFjLThmOTUtZDlhY2VkY2NiMzY1XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,"In Rio de Janeiro, the forty-something year old, Mercedes, goes to the psychoanalyst and tells the story of her life - from a child who lost her mother. Over three years of analysis, her life changes and she divorces her husband, Gustavo, and has love affairs with Theo and other young men, always supported by her best friend Monica.",
Cloudy with a Chance of Meatballs,20/03/2021,2009,Inglês,"Phil Lord, Christopher Miller","Animação, Aventura, Comédia",90,,,https://www.imdb.com/title/tt0844471,https://m.media-amazon.com/images/M/MV5BMTg0MjAwNDI5MV5BMl5BanBnXkFtZTcwODkyMzg2Mg@@._V1_.jpg,"A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.",100000000
Batman Ninja,22/03/2021,2018,Japonês,Junpei Mizusaki,"Animação, Ficção científica",85,,,https://www.imdb.com/title/tt7451284,https://m.media-amazon.com/images/M/MV5BMjFlMDc2NGMtYjkyMS00MTlhLTgxNWItMmYxZjc5NzVhMGE0XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_.jpg,"Batman, along with a number of his allies and adversaries, finds himself transplanted from modern Gotham City to feudal Japan.",
Going in Style,23/03/2021,2017,Inglês,Zach Braff,"Comédia, Crime",96,,,https://www.imdb.com/title/tt2568862,https://m.media-amazon.com/images/M/MV5BMTc5Mzg3NjI4OF5BMl5BanBnXkFtZTgwNzA3Mzg4MDI@._V1_.jpg,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",25000000
Cloudy with a Chance of Meatballs 2,25/03/2021,2013,Inglês,"Cody Cameron, Kris Pearn","Animação, Aventura, Comédia",95,,,https://www.imdb.com/title/tt1985966,https://m.media-amazon.com/images/M/MV5BMTYzNDM0MDI1NF5BMl5BanBnXkFtZTcwNzQ5NzYxOQ@@._V1_.jpg,"Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids.",78000000
Pixels,27/03/2021,2015,Inglês,Chris Columbus,"Ação, Comédia, Fantasia",105,,,https://www.imdb.com/title/tt2120120,https://m.media-amazon.com/images/M/MV5BMTIzNDYzMzgtZWMzNS00ODc2LTg2ZmMtOTE2MWZkNzIxMmQ0XkEyXkFqcGdeQXVyNjQ3MDg0MTY@._V1_.jpg,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",88000000
Mr. Peabody & Sherman,28/03/2021,2014,Inglês,Rob Minkoff,"Animação, Aventura, Comédia",92,,,https://www.imdb.com/title/tt0864835,https://m.media-amazon.com/images/M/MV5BMTkxMzM0NzcwN15BMl5BanBnXkFtZTgwNzk1MjMzMTE@._V1_.jpg,"The time-travelling adventures of an advanced canine and his adopted son, as they endeavor to fix a time rift they created.",145000000
The Lego Movie,30/03/2021,2014,Inglês,"Phil Lord, Christopher Miller","Animação, Ação, Aventura",100,,,https://www.imdb.com/title/tt1490017,https://m.media-amazon.com/images/M/MV5BMTg4MDk1ODExN15BMl5BanBnXkFtZTgwNzIyNjg3MDE@._V1_.jpg,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",60000000
Kick-Ass,01/04/2021,2010,Inglês,Matthew Vaughn,"Ação, Comédia, Crime",117,,,https://www.imdb.com/title/tt1250777,https://m.media-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_.jpg,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",30000000
American Psycho,02/04/2021,2000,Inglês,Mary Harron,"Comédia, Crime, Drama",101,,,https://www.imdb.com/title/tt0144084,https://m.media-amazon.com/images/M/MV5BZTM2ZGJmNjQtN2UyOS00NjcxLWFjMDktMDE2NzMyNTZlZTBiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",7000000
Secret Magic Control Agency,02/04/2021,2021,Inglês,Aleksey Tsitsilin,"Animação, Aventura, Comédia",103,,,https://www.imdb.com/title/tt13932162,https://m.media-amazon.com/images/M/MV5BNjkyNzQ4ODItMTkwZi00ODY3LWI3MzgtZDAyZjJiOWEwMDYxXkEyXkFqcGdeQXVyODk0OTc5NTQ@._V1_.jpg,"The Secret Magic Control Agency sends its two best agents, Hansel and Gretel, to fight against the witch of the Gingerbread House.",
Black is Beltza,03/04/2021,2018,Espanhol,Fermín Muguruza,Animação,87,,,https://www.imdb.com/title/tt8512986,https://m.media-amazon.com/images/M/MV5BZWJmZDU3ODUtZmQyZS00ZTkxLWE2NTktZWI5YzYzMjUwYzE2XkEyXkFqcGdeQXVyODgzNzc1MDE@._V1_.jpg,"Oct. 1965. Pamplona's troupe of giant figures, is invited to parade in NY. But not all of them will be allowed to appear: due to racial discrimination, the American authorities will ban the participation of the two black giants.",
Reflexões de um Liquidificador,06/04/2021,2010,Português (Brasileiro),André Klotzel,"Comédia, Thriller",80,,,https://www.imdb.com/title/tt1442578,https://m.media-amazon.com/images/M/MV5BMzk0MmRjMzEtMDYwMC00ZDY2LWJkNmYtYjk4NjI3MmJiZTIxXkEyXkFqcGdeQXVyMTU2ODc4ODQ@._V1_.jpg,"Elvira's blender tells her story with her husband, Onofre, who's gone missing, and makes reflections about life.",
De Pernas pro Ar,07/04/2021,2010,Português (Brasileiro),Roberto Santucci,Comédia,101,,,https://www.imdb.com/title/tt1564916,https://m.media-amazon.com/images/M/MV5BMTk3NzgxNzE3OV5BMl5BanBnXkFtZTcwMDI1Njc4NQ@@._V1_.jpg,"After being left by her husband and fired from her work, a workaholic businesswoman is forced to go through a big change in her life and becomes a partner on a decadent sex shop.",
De Pernas pro Ar 2,07/04/2021,2012,Português (Brasileiro),Roberto Santucci,"Comédia, Romance",115,,,https://www.imdb.com/title/tt2296709,https://m.media-amazon.com/images/M/MV5BYmZhNGY3OTgtMDhhMi00MzI3LWE3MGUtNmY2MDc5NjlhNDg0XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,Alice owns a sex shop and travels to New York to open a new business.,6000000
Focus,08/04/2021,2015,Inglês,"Glenn Ficarra, John Requa","Comédia, Crime, Drama",105,,,https://www.imdb.com/title/tt2381941,https://m.media-amazon.com/images/M/MV5BMTUwODg2OTA4OF5BMl5BanBnXkFtZTgwOTE5MTE4MzE@._V1_.jpg,"In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.",50100000
Batman & Mr. Freeze: SubZero,10/04/2021,1998,Inglês,Boyd Kirkland,"Animação, Ação, Crime",70,,,https://www.imdb.com/title/tt0143127,https://m.media-amazon.com/images/M/MV5BOTQ0NmUzMzAtODk5My00MzYwLThlYWEtY2NkOGNhODg5ZmY1XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_.jpg,"When Mr. Freeze, desperate to save his dying wife, kidnaps Barbara Gordon (Batgirl) as an involuntary organ donor, Batman and Robin must find her before the operation can begin.",
Batman Returns,10/04/2021,1992,Inglês,Tim Burton,"Ação, Crime, Fantasia",126,,,https://www.imdb.com/title/tt0103776,https://m.media-amazon.com/images/M/MV5BOGZmYzVkMmItM2NiOS00MDI3LWI4ZWQtMTg0YWZkODRkMmViXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_.jpg,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",80000000
Batman: Mask of the Phantasm,10/04/2021,1993,Inglês,"Eric Radomski, Bruce Timm","Animação, Ação, Crime",76,,,https://www.imdb.com/title/tt0106364,https://m.media-amazon.com/images/M/MV5BYTRiMWM3MGItNjAxZC00M2E3LThhODgtM2QwOGNmZGU4OWZhXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_.jpg,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,6000000
Batman: Soul of the Dragon,11/04/2021,2021,Inglês,Sam Liu,"Animação, Ação, Aventura",83,,,https://www.imdb.com/title/tt12885852,https://m.media-amazon.com/images/M/MV5BYmQ4YjZlZjAtYzljOS00ZjViLWE1NGYtMzlmZDZjZTcxYzRiXkEyXkFqcGdeQXVyMTEyNzgwMDUw._V1_.jpg,"In the 1970s, a missing teacher of martial arts is the subject of a quest by his devoted and brilliant but distant students, who include Batman.",
"Batman: The Dark Knight Returns, Part 1",11/04/2021,2012,Inglês,Jay Oliva,"Animação, Ação, Crime",76,,,https://www.imdb.com/title/tt2313197,https://m.media-amazon.com/images/M/MV5BMzIxMDkxNDM2M15BMl5BanBnXkFtZTcwMDA5ODY1OQ@@._V1_.jpg,"Batman has not been seen for ten years. A new breed of criminal ravages Gotham City, forcing 55-year-old Bruce Wayne back into the cape and cowl. But, does he still have what it takes to fight crime in a new era?",3500000
"Batman: The Dark Knight Returns, Part 2",12/04/2021,2013,Inglês,Jay Oliva,"Animação, Ação, Crime",76,,,https://www.imdb.com/title/tt2166834,https://m.media-amazon.com/images/M/MV5BMzI2MzlmZTMtYjg2Zi00ZjA2LTg3ZjQtZGJlOTk3NjJlNmRjXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_.jpg,The Batman has returned after a 10-year absence. The Gotham authorities want to arrest him. An old foe wants a reunion. The Feds want the Man of Tomorrow to put a stop to him.,3500000
Batman,12/04/2021,1989,Inglês,Tim Burton,"Ação, Aventura",126,,,https://www.imdb.com/title/tt0096895,https://m.media-amazon.com/images/M/MV5BZTM2NmZlOTEtYTI5NS00N2JjLWJkNzItMmZkNDBlYmQzNDA2XkEyXkFqcGdeQXVyMTAxODYyODI@._V1_.jpg,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",35000000
Batman: Mystery of the Batwoman,14/04/2021,2003,Inglês,Curt Geda,"Animação, Ação, Crime",75,,,https://www.imdb.com/title/tt0346578,https://m.media-amazon.com/images/M/MV5BN2IwYTVlZGQtOTRhNy00MDI5LThmMTUtYWI1MGUwMGFkYzI1XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_.jpg,"The Dark Knight must contend with a mysterious female vigilante who emulates him, but to a more ruthless degree.",
The Batman vs. Dracula,14/04/2021,2005,Inglês,Michael Goguen,"Animação, Ação, Horror",83,,,https://www.imdb.com/title/tt0472219,https://m.media-amazon.com/images/M/MV5BMTkyMTMwNjA3MV5BMl5BanBnXkFtZTcwNzE2NTI2OQ@@._V1_.jpg,"Batman faces off against the original creature of the night, Count Dracula, who has been unintentionally resurrected by the Penguin.",
Batman: Under the Red Hood,16/04/2021,2010,Inglês,Brandon Vietti,"Animação, Ação, Crime",75,,,https://www.imdb.com/title/tt1569923,https://m.media-amazon.com/images/M/MV5BNmY4ZDZjY2UtOWFiYy00MjhjLThmMjctOTQ2NjYxZGRjYmNlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,"There's a mystery afoot in Gotham City, and Batman must go toe-to-toe with a mysterious vigilante, who goes by the name of Red Hood. Subsequently, old wounds reopen and old, once buried memories come into the light.",
Batman: Year One,16/04/2021,2011,Inglês,"Sam Liu, Lauren Montgomery","Animação, Ação, Crime",64,,,https://www.imdb.com/title/tt1672723,https://m.media-amazon.com/images/M/MV5BNDc1ZjY4ZGUtY2RiNC00MmUyLWE2ZGYtMTNlNGJmMDU5ZDk4XkEyXkFqcGdeQXVyMTEyNzgwMDUw._V1_.jpg,A wealthy playboy and a Chicago cop both return to Gotham City where their lives will intersect in unexpected ways.,3500000
War Dogs,17/04/2021,2016,Inglês,Todd Phillips,"Biografia, Comédia, Crime",114,,,https://www.imdb.com/title/tt2005151,https://m.media-amazon.com/images/M/MV5BMjEyNzQ0NzM4MV5BMl5BanBnXkFtZTgwMDI0ODM2OTE@._V1_.jpg,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",40000000
Shrek,17/04/2021,2001,Inglês,"Andrew Adamson, Vicky Jenson","Animação, Aventura, Comédia",90,,,https://www.imdb.com/title/tt0126029,https://m.media-amazon.com/images/M/MV5BOGZhM2FhNTItODAzNi00YjA0LWEyN2UtNjJlYWQzYzU1MDg5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",60000000
Shrek 2,18/04/2021,2004,Inglês,"Andrew Adamson, Kelly Asbury, Conrad Vernon","Animação, Aventura, Comédia",93,,,https://www.imdb.com/title/tt0298148,https://m.media-amazon.com/images/M/MV5BMDJhMGRjN2QtNDUxYy00NGM3LThjNGQtMmZiZTRhNjM4YzUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",150000000
Shrek the Third,20/04/2021,2007,Inglês,Christopher Miller,"Animação, Aventura, Comédia",93,,,https://www.imdb.com/title/tt0413267,https://m.media-amazon.com/images/M/MV5BOTgyMjc3ODk2MV5BMl5BanBnXkFtZTcwMjY0MjEzMw@@._V1_.jpg,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",160000000
Shrek Forever After,22/04/2021,2010,Inglês,Mike Mitchell,"Animação, Aventura, Comédia",93,,,https://www.imdb.com/title/tt0892791,https://m.media-amazon.com/images/M/MV5BMTY0OTU1NzkxMl5BMl5BanBnXkFtZTcwMzI2NDUzMw@@._V1_.jpg,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,165000000
We're the Millers,23/04/2021,2013,Inglês,Rawson Marshall Thurber,"Comédia, Crime",110,,,https://www.imdb.com/title/tt1723121,https://m.media-amazon.com/images/M/MV5BMjA5Njc0NDUxNV5BMl5BanBnXkFtZTcwMjYzNzU1OQ@@._V1_.jpg,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,37000000
Ransom,25/04/2021,1996,Inglês,Ron Howard,"Ação, Crime, Thriller",121,,,https://www.imdb.com/title/tt0117438,https://m.media-amazon.com/images/M/MV5BZTc0ZjNkYTktMmJmOS00OTJlLTg1NWUtMzQ5ZGMxM2NhY2M0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,"Multi-millionaire Tom Mullen's son is kidnapped, but after initially agreeing to pay the ransom Mullen then decides to use the ransom money as a bounty.",80000000
Terminal,25/04/2021,2018,Inglês,Vaughn Stein,"Crime, Drama, Thriller",95,,,https://www.imdb.com/title/tt3812432,https://m.media-amazon.com/images/M/MV5BY2I5MGMxNGEtMTE0OC00ZDE2LThhODctODdkYTFmNDFmY2RiXkEyXkFqcGdeQXVyNzk5ODY5Njk@._V1_.jpg,"A merciless district attorney, sentenced to death, meets a desperate young woman on the run from the law who changes everything.",
Edge of Tomorrow,26/04/2021,2014,Inglês,Doug Liman,"Ação, Aventura, Ficção científica",113,,,https://www.imdb.com/title/tt1631867,https://m.media-amazon.com/images/M/MV5BMTc5OTk4MTM3M15BMl5BanBnXkFtZTgwODcxNjg3MDE@._V1_.jpg,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",178000000
The Devil All the Time,27/04/2021,2020,Inglês,Antonio Campos,"Crime, Drama, Thriller",138,,,https://www.imdb.com/title/tt7395114,https://m.media-amazon.com/images/M/MV5BZmE1NmVmN2EtMjZmZC00YzAyLWE4MWEtYjY5YmExMjUxODU1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,
Barnyard,27/04/2021,2006,Inglês,Steve Oedekerk,"Animação, Aventura, Comédia",90,,,https://www.imdb.com/title/tt0414853,https://m.media-amazon.com/images/M/MV5BMTU2NDE0ODYyNF5BMl5BanBnXkFtZTcwNjQ3NzAzMQ@@._V1_.jpg,"When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow.",51000000
Replicas,27/04/2021,2018,Inglês,Jeffrey Nachmanoff,"Drama, Ficção científica, Thriller",107,,,https://www.imdb.com/title/tt4154916,https://m.media-amazon.com/images/M/MV5BZGQxYTZlYzQtNjk3NS00MjVhLTkxZTYtMDk2ODlkMGJkYzBhXkEyXkFqcGdeQXVyMTk5MzE1MTY@._V1_.jpg,A scientist becomes obsessed with bringing back his family members who died in a traffic accident.,30000000
Gravity,28/04/2021,2013,Inglês,Alfonso Cuarón,"Drama, Ficção científica, Thriller",91,,,https://www.imdb.com/title/tt1454468,https://m.media-amazon.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_.jpg,Two astronauts work together to survive after an accident leaves them stranded in space.,100000000
Stuart Little,30/04/2021,1999,Inglês,Rob Minkoff,"Aventura, Comédia, Família",84,,,https://www.imdb.com/title/tt0164912,https://m.media-amazon.com/images/M/MV5BMDJlZWZiODItMGE3NC00Yzg3LWFhYTYtZTI2YWNlNjExMDE4XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,"The Little family adopt a charming young mouse named Stuart, but the family cat wants rid of him.",133000000
The Polar Express,30/04/2021,2004,Inglês,Robert Zemeckis,"Animação, Aventura, Comédia",100,,,https://www.imdb.com/title/tt0338348,https://m.media-amazon.com/images/M/MV5BMTM1NTU0NTE4MV5BMl5BanBnXkFtZTcwMTQ0MjEzMw@@._V1_.jpg,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",165000000
Moneyball,01/05/2021,2011,Inglês,Bennett Miller,"Biografia, Drama, Esporte",133,,,https://www.imdb.com/title/tt1210166,https://m.media-amazon.com/images/M/MV5BMjAxOTU3Mzc1M15BMl5BanBnXkFtZTcwMzk1ODUzNg@@._V1_.jpg,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,50000000
Hotel Transylvania,01/05/2021,2012,Inglês,Genndy Tartakovsky,"Animação, Comédia, Família",91,,,https://www.imdb.com/title/tt0837562,https://m.media-amazon.com/images/M/MV5BMTM3NjQyODI3M15BMl5BanBnXkFtZTcwMDM4NjM0OA@@._V1_.jpg,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.",85000000
Hotel Transylvania 2,02/05/2021,2015,Inglês,Genndy Tartakovsky,"Animação, Comédia, Família",89,,,https://www.imdb.com/title/tt2510894,https://m.media-amazon.com/images/M/MV5BMGVhZWM0YTEtM2YxYy00YWUzLWI1YWQtNjk5ZTRhNTJmM2VhXkEyXkFqcGdeQXVyNTk1MTAyODc@._V1_.jpg,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.",80000000
O Melhor Verão das Nossas Vidas,03/05/2021,2020,Português (Brasileiro),Adolpho Knauth,Comédia,98,,,https://www.imdb.com/title/tt11681730,https://m.media-amazon.com/images/M/MV5BMmE1MDY0YzEtYTQ5Yi00ZDBiLWI4YzUtOGJhOTI0YjY4YzJmXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,"Bia, Giulia and Laura(BFF Girls) try to sing in a music festival, but their parents can't find out, because they got educational recovery at school",1000000
Despicable Me,05/05/2021,2010,Inglês,"Chris Renaud, Pierre Coffin","Animação, Comédia, Crime",95,,,https://www.imdb.com/title/tt1323594,https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_.jpg,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",69000000
The Lorax,12/05/2021,2012,Inglês,Chris Renaud,"Animação, Aventura, Comédia",86,,,https://www.imdb.com/title/tt1482459,https://m.media-amazon.com/images/M/MV5BMTU1MTAwMjk1NF5BMl5BanBnXkFtZTcwMDI5NDc4Ng@@._V1_.jpg,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",70000000
Monsters vs. Aliens,12/05/2021,2009,Inglês,"Conrad Vernon, Rob Letterman","Animação, Ação, Aventura",94,,,https://www.imdb.com/title/tt0892782,https://m.media-amazon.com/images/M/MV5BMTY0OTQ3MzE3MV5BMl5BanBnXkFtZTcwMDQyMzMzMg@@._V1_.jpg,A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.,175000000
They Live,12/05/2021,1988,Inglês,John Carpenter,"Ação, Horror, Ficção científica",94,,,https://www.imdb.com/title/tt0096256,https://m.media-amazon.com/images/M/MV5BMTQ3MjM3ODU1NV5BMl5BanBnXkFtZTgwMjU3NDU2MTE@._V1_.jpg,They influence our decisions without us knowing it. They numb our senses without us feeling it. They control our lives without us realizing it. They live.,4000000
Despicable Me 2,14/05/2021,2013,Inglês,"Pierre Coffin, Chris Renaud","Animação, Aventura, Comédia",98,,,https://www.imdb.com/title/tt1690953,https://m.media-amazon.com/images/M/MV5BMTQxNzY1MjI5NF5BMl5BanBnXkFtZTcwNTI0MDY1OQ@@._V1_.jpg,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",76000000
